id,category,severity,cvss_score,findings_count,description,affected_components,cwe,iso27001_controls,business_impact,remediation,type
WEB-011,Path Traversal,High,7.5,2,상위 디렉토리 접근으로 시스템 파일 조회,"['/file/download', '/file/view']",CWE-22,['A.8.3'],"/etc/passwd, application.properties 등 민감 파일 노출","경로 화이트리스트, .. 제거, 절대 경로 변환",Web Application
WEB-012,에러 페이지 미흡,Low,3.7,3,"Soft-404, 스택 트레이스 노출",['에러 핸들링'],CWE-209,['A.8.16'],시스템 구조 및 취약점 정보 노출,"Custom Error Page, 상세 에러 메시지 차단",Web Application
WEB-013,Format String 취약점,High,7.5,2,"String.format()에 사용자 입력 연결, 민감정보 유출",['SupportController.java:37'],CWE-134,"['A.8.8', 'A.8.11']",API 키 유출 (SK-SHIELDUS-ADMINKEY-2025),"포맷 문자열 하드코딩, 민감정보 분리",Web Application
WEB-014,SSRF,High,8.6,3,"내부망 접근 가능, Loopback 주소 필터링 부재",['/admin/system/ping'],CWE-918,"['A.8.20', 'A.8.21']","내부 서비스 스캔, AWS 메타데이터 접근","내부 IP 대역 차단, URL 화이트리스트",Web Application
OS-001,비밀번호 관리정책 미흡,High,7.8,10,"pam_pwquality 설정 부재, 복잡도 요구사항 미적용","['/etc/pam.d/common-password', '/etc/security/pwquality.conf']",CWE-521,"['A.5.17', 'A.9.4.3']",약한 비밀번호 허용으로 무차별 대입 공격 취약,"minlen=8, dcredit=-1, ucredit=-1, lcredit=-1, ocredit=-1 설정",OS/Infrastructure
OS-002,계정 잠금 임계값 미설정,High,7.5,2,pam_tally2 설정 부재,['/etc/pam.d/common-auth'],CWE-307,['A.5.17'],무제한 로그인 시도 허용,pam_tally2.so deny=5 unlock_time=600 설정,OS/Infrastructure
OS-003,su 명령어 제한 미흡,Medium,6.5,1,pam_wheel.so 미설정,['/etc/pam.d/su'],CWE-250,['A.8.3'],모든 사용자가 su 명령어 사용 가능,auth required pam_wheel.so 추가,OS/Infrastructure
OS-004,세션 타임아웃 미설정,Medium,5.3,1,TMOUT 환경변수 미설정,"['/etc/profile', '/etc/bash.bashrc']",CWE-613,['A.8.5'],방치된 세션 악용 가능,TMOUT=600 설정 (10분),OS/Infrastructure
OS-005,/etc/shadow 권한 취약,High,7.1,1,640 권한 설정 (그룹 읽기 가능),['/etc/shadow'],CWE-732,['A.8.3'],그룹 멤버가 해시된 비밀번호 접근 가능,chmod 400 /etc/shadow,OS/Infrastructure
OS-006,rsyslog 설정파일 권한 취약,Medium,5.5,2,644 권한으로 일반 사용자 읽기 가능,"['/etc/rsyslog.conf', '/etc/rsyslog.d/50-default.conf']",CWE-732,['A.8.15'],로깅 정책 노출,chmod 640 설정,OS/Infrastructure
OS-007,UMASK 미설정,Medium,5.3,1,/etc/profile에 umask 설정 부재,['/etc/profile'],CWE-732,['A.8.3'],생성되는 파일의 기본 권한 취약,umask 022 설정,OS/Infrastructure
OS-008,crontab 권한 취약,Medium,6.2,1,/etc/crontab 644 권한,['/etc/crontab'],CWE-732,['A.8.3'],예약 작업 정보 노출,chmod 600 /etc/crontab,OS/Infrastructure
OS-009,불필요한 NFS 서비스 활성화,High,7.5,4,"nfs-server, rpcbind 등 활성화",['NFS 관련 서비스'],CWE-1188,['A.8.9'],"공격 표면 증가, 원격 파일 공유 악용",systemctl disable nfs-server rpcbind,OS/Infrastructure
OS-010,FTP 서비스 활성화,High,7.5,4,"vsftpd, proftpd 등 암호화되지 않은 FTP 실행",['FTP 서비스'],CWE-319,['A.8.24'],평문 전송으로 인한 자격증명 유출,"FTP 비활성화, SFTP/FTPS 사용",OS/Infrastructure
OS-011,FTP 접근 제어 미흡,Medium,6.5,2,ftpusers 파일 부재,['/etc/ftpusers'],CWE-284,['A.8.3'],root 계정 FTP 접속 가능,ftpusers에 root 추가,OS/Infrastructure
OS-012,SNMP 서비스 활성화,Medium,6.5,1,snmpd 실행 중,['snmpd'],CWE-1188,['A.8.9'],SNMP를 통한 시스템 정보 수집 가능,systemctl disable snmpd,OS/Infrastructure
OS-013,로그 파일 권한 취약,Medium,5.5,4,"syslog 소유자, 640 권한","['/var/log/auth.log', '/var/log/syslog']",CWE-732,['A.8.15'],감사 로그 무단 접근,"chown root:root, chmod 600",OS/Infrastructure
